Dow Jones;S&P 500;Nasdaq;Russell 2000;пря;FTSE 100;CAC 40;Nikkei 225;SZSE Component;KOSPI;DAX;FTSE MIB
33879;4181,17;13962,68;2265,36;1485,03;6969,81;6307,72;28812,63;14438,57;3147,86;15248,75;24334,5
34060,36;4211,47;14082,55;2295,46;1510,72;6961,48;6269,48;29053,97;14464,08;3174,07;15135,91;24141,16
33820,38;4183,18;14051,03;2304,16;1509,06;6963,67;6302,57;28991,89;14398,38;3181,47;15154,2;24278,2
33984,93;4186,72;14090,22;2301,27;1516,01;6944,97;6306,98;29126,23;14264,08;3215,42;15292,18;24459,57
33981,57;4187,62;14138,78;2298,01;1519,33;6963,12;6273,76;29020,63;14224,45;3217,53;15249,27;24473,06
34043,49;4180,17;14016,81;2271,86;1511,85;6938,56;6275,52;29188,17;14351,86;3186,1;15296,34;24513,84
33815,9;4134,98;13818,41;2232,61;1501,77;6938,24;6257,94;28508,55;14209,44;3177,52;15279,62;24386,09
34137,31;4173,42;13950,22;2239,63;1464,17;6895,29;6267,28;29100,38;14151,15;3171,66;15320,52;24398,41
33821,3;4134,94;13786,27;2188,21;1455,43;6859,87;6210,55;29685,37;14101,9;3220,7;15195,97;24161,38
34077,63;4163,26;13914,76;2232;1476,58;7000,08;6165,11;29683,37;14117,8;3198,84;15129,51;24088,65
34200,67;4185,47;14052,34;2262,67;1497,05;7019,53;6296,69;29642,69;13720,74;3198,62;15368,39;24691,46
34035,99;4170,42;14038,76;2257,07;1474,85;6983,5;6287,07;29620,99;13680,27;3194,33;15459,75;24744,38
33730,89;4124,66;13857,84;2247,72;1490;6939,58;6234,14;29751,61;13738;3182,38;15255,33;24528,69
33677,27;4141,59;13996,1;2228,92;1458,51;6890,49;6208,58;29538,73;13528,31;3169,08;15209,15;24574,74
33745,4;4127,99;13850;2233,78;1432,48;6889,12;6184,1;29768,06;13495,72;3135,59;15234,36;24600,35
33800,6;4128,8;13900,18;2243,47;1417,77;6915,75;6161,68;29708,98;13813,31;3131,88;15215;24457,18
33503,57;4097,17;13829,31;2242,6;1440,43;6942,22;6169,41;29730,79;13989,94;3143,26;15234,16;24429,41
33446,26;4079,95;13688,84;2223,05;1429,51;6885,32;6165,72;29696,63;13979,31;3137,41;15202,68;24576,51
33430,24;4073,94;13698,38;2259,15;1426,86;6823,55;6130,66;30089,25;14083,34;3127,08;15176,36;24740,73
33527,19;4077,91;13705,59;2264,89;1457,13;6737,3;6131,34;29854;14122,61;3120,83;15212,68;24761,12
33153,21;4019,87;13480,11;2253,9;1466,71;6713,63;6102,96;29388,87;13979,69;3087,4;15107,17;24710
32981,55;3972,89;13246,87;2220,52;1457,37;6772,12;6067,23;29178,8;13778,67;3061,42;15008,34;24648,56
33066,96;3958,55;13045,39;2195,8;1477,11;6736,17;6088,04;29432,7;13888,44;3070;15008,61;24636,39
33171,37;3971,09;13059,65;2158,68;1460,32;6740,59;6015,51;29384,52;13771,26;3036,04;14817,72;24421,4
33072,88;3974,54;13138,72;2221,48;1468,14;6674,83;5988,81;29176,7;13769,68;3041,01;14748,94;24393,26
32619,48;3909,52;12977,68;2183,12;1449,85;6712,89;5952,41;28729,88;13421,16;3008,33;14621,36;24218,55
32420,06;3889,14;12961,89;2134,27;1417,16;6699,19;5947,29;28405,52;13407,35;2996,35;14610,39;24208,66
32423,15;3910,52;13227,7;2185,69;1437,18;6726,1;5945,3;28995,92;13607,27;3004,74;14662,02;24113,86
32731,2;3940,59;13377,54;2266,84;1435,67;6708,71;5968,48;29174,15;13760,97;3035,46;14657,21;24262,84
32627,97;3913,1;13215,24;2287,55;1467,62;6779,68;5997,96;29792,05;13606;3039,53;14621;24199,42
32862,3;3915,46;13116,17;2267,59;1474,05;6762,67;6062,79;30216,75;13963,92;3066,01;14775,52;24360,49
33015,37;3974,12;13525,2;2336,39;1488,72;6803,61;6054,82;29914,33;13809,77;3047,5;14596,61;24281,05
32825,95;3962,71;13471,57;2319,52;1493,66;6749,7;6055,43;29921,09;13642,96;3067,17;14557,58;24261,12
32953,46;3968,94;13459,71;2360,17;1552,81;6761,47;6035,97;29766,97;13520,07;3045,71;14461,42;24139,45
32778,64;3943,34;13319,87;2352,79;1543,99;6736,96;6046,55;29717,83;13897,03;3054,39;14502,39;24113,22
32485,59;3939,34;13398,67;2338,54;1519,5;6725,6;6033,76;29211,64;13866,37;3013,7;14569,39;24121,37
32297,02;3898,81;13068,83;2285,68;1505,22;6730,34;5990,55;29036,56;13563,34;2958,12;14540,25;23925,96
31832,74;3875,44;13073,83;2245,06;1479,57;6719,13;5924,97;29027,94;13475,72;2976,12;14437,94;23816,5
31802,44;3821,35;12609,16;2202,98;1481,85;6630,52;5902,99;28743,25;13863,81;2996,11;14380,91;23681,57
31496,3;3841,94;12920,15;2192,21;1447,46;6650,88;5782,65;28864,32;14412,31;3026,26;13920,69;22965,63
30924,14;3768,47;12723,47;2146,92;1454,67;6675,47;5830,65;28930,11;14416,06;3043,49;14056,34;23093,1
31270,09;3819,72;12997,75;2207,79;1453,61;;5830,06;29559,1;14932,38;3082,99;14080,03;23046,77
